Time,Temp,Windchill,Heat Index,Humidity,Pressure,Dew Point,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
2016-06-01 00:00:00,23.3,,,0.71,1014.8,17.8,12.9,WSW,11.1,0.0,0.0,,Clear
2016-06-01 01:00:00,23.3,,,0.73,1015.1,18.3,12.9,Calm,0.0,0.0,0.0,,Clear
2016-06-01 02:00:00,22.8,,,0.76,1015.3,18.3,12.9,Calm,0.0,0.0,0.0,,Clear
2016-06-01 03:00:00,22.2,,,0.78,1015.6,18.3,11.3,NE,5.6,0.0,0.0,,Clear
2016-06-01 04:00:00,21.1,,,0.76,1016.0,16.7,12.9,ENE,13.0,0.0,0.0,,Clear
2016-06-01 05:00:00,21.7,,,0.53,1016.3,11.7,16.1,East,7.4,0.0,0.0,,Clear
2016-06-01 06:00:00,21.7,,,0.47,1016.7,10.0,16.1,NE,5.6,0.0,0.0,,Clear
2016-06-01 07:00:00,21.1,,,0.53,1017.5,11.1,12.9,Variable,5.6,0.0,0.0,,Clear
2016-06-01 08:00:00,22.2,,,0.43,1018.0,8.9,14.5,ENE,9.3,0.0,0.0,,Partly Cloudy
2016-06-01 09:00:00,22.8,,,0.44,1018.5,10.0,14.5,Calm,0.0,0.0,0.0,,Partly Cloudy
2016-06-01 10:00:00,23.9,,,0.4,1018.8,9.4,14.5,Variable,7.4,0.0,0.0,,Clear
2016-06-01 11:00:00,25.0,,,0.36,1019.0,8.9,14.5,ENE,11.1,0.0,0.0,,Clear
2016-06-01 12:00:00,25.0,,,0.36,1019.0,8.9,12.9,ESE,16.7,0.0,0.0,,Clear
2016-06-01 13:00:00,26.1,,,0.34,1019.1,8.9,12.9,ENE,14.8,0.0,0.0,,Clear
2016-06-01 14:00:00,26.7,,,0.35,1019.0,10.0,12.9,ENE,14.8,0.0,0.0,,Clear
2016-06-01 15:00:00,26.7,,,0.35,1018.8,10.0,12.9,Variable,9.3,0.0,0.0,,Clear
2016-06-01 16:00:00,27.8,,,0.33,1018.7,10.0,12.9,East,14.8,0.0,0.0,,Partly Cloudy
2016-06-01 17:00:00,27.2,,,0.31,1019.0,8.9,12.9,ENE,14.8,0.0,0.0,,Scattered Clouds
2016-06-01 18:00:00,26.7,,26.7,0.4,1018.7,12.2,12.9,ENE,13.0,0.0,0.0,,Scattered Clouds
2016-06-01 19:00:00,25.6,,,0.43,1018.6,12.2,12.9,SSE,13.0,0.0,0.0,,Clear
2016-06-01 20:00:00,24.4,,,0.46,1019.1,12.2,12.9,North,0.0,0.0,0.0,,Clear
2016-06-01 21:00:00,23.9,,,0.46,1019.3,11.7,12.9,North,0.0,0.0,0.0,,Clear
2016-06-01 22:00:00,21.7,,,0.51,1020.1,11.1,14.5,SE,5.6,0.0,0.0,,Clear
2016-06-01 23:00:00,21.1,,,0.53,1020.6,11.1,14.5,Variable,5.6,0.0,0.0,,Clear
2016-06-02 00:00:00,20.0,,,0.56,1020.9,11.1,14.5,Variable,9.3,0.0,0.0,,Clear
2016-06-02 01:00:00,19.4,,,0.61,1021.2,11.7,14.5,ENE,7.4,0.0,0.0,,Clear
2016-06-02 02:00:00,18.9,,,0.6,1021.1,11.1,14.5,Variable,7.4,0.0,0.0,,Clear
2016-06-02 03:00:00,18.3,,,0.65,1020.9,11.7,14.5,Variable,5.6,0.0,0.0,,Clear
2016-06-02 04:00:00,17.8,,,0.73,1020.8,12.8,14.5,ENE,5.6,0.0,0.0,,Clear
2016-06-02 05:00:00,17.2,,,0.75,1020.5,12.8,14.5,East,7.4,0.0,0.0,,Clear
2016-06-02 06:00:00,17.2,,,0.75,1020.2,12.8,14.5,Variable,5.6,0.0,0.0,,Clear
2016-06-02 07:00:00,17.2,,,0.75,1020.7,12.8,12.9,NE,9.3,0.0,0.0,,Mostly Cloudy
2016-06-02 08:00:00,17.2,,,0.78,1021.1,13.3,12.9,Variable,5.6,0.0,0.0,,Overcast
2016-06-02 09:00:00,17.8,,,0.75,1021.0,13.3,11.3,NE,11.1,0.0,0.0,,Scattered Clouds
2016-06-02 10:00:00,18.9,,,0.7,1021.2,13.3,11.3,Variable,9.3,0.0,0.0,,Partly Cloudy
2016-06-02 11:00:00,19.4,,,0.68,1021.1,13.3,11.3,Variable,9.3,0.0,0.0,,Clear
2016-06-02 12:00:00,20.6,,,0.65,1021.0,13.9,11.3,Variable,9.3,0.0,0.0,,Clear
2016-06-02 13:00:00,21.7,,,0.61,1020.6,13.9,11.3,East,11.1,0.0,0.0,,Clear
2016-06-02 14:00:00,23.9,,,0.55,1020.3,14.4,11.3,Variable,5.6,0.0,0.0,,Clear
2016-06-02 15:00:00,24.4,,,0.54,1020.0,14.4,9.7,Variable,5.6,0.0,0.0,,Haze
2016-06-02 16:00:00,23.9,,,0.55,1019.5,14.4,9.7,ENE,13.0,0.0,0.0,,Haze
2016-06-02 17:00:00,23.3,,,0.59,1018.9,15.0,9.7,Variable,11.1,0.0,0.0,,Haze
2016-06-02 18:00:00,23.3,,,0.59,1018.7,15.0,11.3,Variable,11.1,0.0,0.0,,Clear
2016-06-02 19:00:00,22.2,,,0.66,1018.3,15.6,14.5,Variable,7.4,0.0,0.0,,Clear
2016-06-02 20:00:00,20.6,,,0.7,1018.3,15.0,12.9,Variable,11.1,0.0,0.0,,Clear
2016-06-02 21:00:00,18.9,,,0.78,1018.5,15.0,11.3,North,0.0,0.0,0.0,,Scattered Clouds
2016-06-02 22:00:00,18.3,,,0.78,1018.9,14.4,12.9,Variable,7.4,0.0,0.0,,Overcast
2016-06-02 23:00:00,17.8,,,0.8,1019.2,14.4,11.3,Variable,5.6,0.0,0.0,,Overcast
2016-06-03 00:00:00,17.8,,,0.8,1019.1,14.4,11.3,Calm,0.0,0.0,0.0,,Overcast
2016-06-03 01:00:00,18.3,,,0.78,1019.2,14.4,11.3,Calm,0.0,0.0,0.0,,Overcast
2016-06-03 02:00:00,18.3,,,0.78,1019.2,14.4,11.3,Variable,7.4,0.0,0.0,,Overcast
2016-06-03 03:00:00,17.8,,,0.78,1018.7,13.9,12.9,Calm,0.0,0.0,0.0,,Overcast
2016-06-03 04:00:00,17.8,,,0.78,1018.2,13.9,14.5,Calm,0.0,0.0,0.0,,Overcast
2016-06-03 05:00:00,17.8,,,0.8,1017.9,14.4,12.9,SSW,5.6,0.0,0.0,,Overcast
2016-06-03 06:00:00,18.3,,,0.78,1018.0,14.4,12.9,Calm,0.0,0.0,0.0,,Overcast
2016-06-03 07:00:00,17.8,,,0.8,1018.1,14.4,11.3,ENE,7.4,0.0,0.0,,Overcast
2016-06-03 08:00:00,17.8,,,0.8,1018.3,14.4,8.0,East,7.4,0.0,0.0,,Haze
2016-06-03 09:00:00,17.8,,,0.84,1018.3,15.0,6.4,Calm,0.0,0.0,0.3,,Haze
2016-06-03 10:00:00,17.2,,,0.9,1019.2,15.6,4.8,East,5.6,0.0,0.0,Rain,Light Rain
2016-06-03 11:00:00,17.8,,,0.9,1018.3,16.1,4.8,Calm,0.0,0.0,0.3,,Overcast
2016-06-03 12:00:00,18.3,,,0.9,1018.3,16.7,4.8,Calm,0.0,0.0,0.0,,Overcast
2016-06-03 13:00:00,18.9,,,0.87,1018.2,16.7,4.8,Variable,5.6,0.0,0.0,,Overcast
2016-06-03 14:00:00,18.9,,,0.87,1018.0,16.7,6.4,Variable,5.6,0.0,0.0,,Overcast
2016-06-03 15:00:00,19.4,,,0.84,1017.8,16.7,8.0,Calm,0.0,0.0,0.0,,Haze
2016-06-03 16:00:00,20.0,,,0.78,1017.2,16.1,9.7,Variable,5.6,0.0,0.0,,Haze
2016-06-03 17:00:00,19.4,,,0.84,1017.3,16.7,8.0,Calm,0.0,0.0,0.0,,Haze
2016-06-03 18:00:00,20.6,,,0.78,1016.9,16.7,9.7,Calm,0.0,0.0,0.0,,Haze
2016-06-03 19:00:00,21.1,,,0.73,1016.6,16.1,8.0,Calm,0.0,0.0,0.0,,Haze
2016-06-03 20:00:00,21.1,,,0.76,1016.8,16.7,9.7,Calm,0.0,0.0,0.0,,Haze
2016-06-03 21:00:00,20.6,,,0.75,1016.7,16.1,9.7,Calm,0.0,0.0,0.0,,Haze
2016-06-03 22:00:00,20.0,,,0.78,1016.6,16.1,12.9,Variable,5.6,0.0,0.0,,Overcast
2016-06-03 23:00:00,20.0,,,0.81,1016.9,16.7,11.3,WSW,7.4,0.0,0.0,,Overcast
2016-06-04 00:00:00,20.0,,,0.81,1017.3,16.7,12.9,Variable,5.6,0.0,0.0,,Overcast
2016-06-04 01:00:00,19.4,,,0.79,1017.5,15.6,12.9,Calm,0.0,0.0,0.0,,Overcast
2016-06-04 02:00:00,19.4,,,0.79,1017.0,15.6,12.9,Calm,0.0,0.0,0.0,,Overcast
2016-06-04 03:00:00,19.4,,,0.81,1016.7,16.1,12.9,Calm,0.0,0.0,0.0,,Overcast
2016-06-04 04:00:00,20.0,,,0.81,1016.2,16.7,11.3,Calm,0.0,0.0,0.0,,Overcast
2016-06-04 05:00:00,20.0,,,0.81,1016.3,16.7,11.3,Calm,0.0,0.0,0.0,,Overcast
